YEAR,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,JAN-FEB,JUN-SEP,MAR,MAY,MAR-MAY,NOV,OCT,OCT-DEC,SEP
2001,1000.55,26.6,222.65,0.35,1.4,4.4,269.25,220.65,5.949999999999999,826.05,6.75,46.4,100.30000000000001,5.2,112.75,132.9,132.4
2002,914.65,13.85,250.0,2.4000000000000004,8.3,10.7,89.9,154.8,23.55,645.2,7.0,34.0,61.5,5.199999999999999,48.3,56.0,123.05
2003,1128.55,17.5,242.2,7.45,18.799999999999997,2.9,309.85,128.7,24.549999999999997,934.85,18.7,11.7,50.0,5.449999999999999,89.05,121.5,136.75
2004,1017.65,25.299999999999997,251.7,0.30000000000000004,2.7,10.25,217.2,156.9,16.3,839.7,3.05,53.3,96.15,5.449999999999999,66.15,81.19999999999999,126.5
2005,1267.85,16.85,220.6,1.8499999999999999,11.45,13.9,357.85,141.55,28.0,869.75,16.049999999999997,38.1,81.3,1.4500000000000002,85.35,88.95,217.4
2006,1197.25,15.95,287.2,1.55,0.0,0.25,294.85,126.85,0.4,895.55,30.549999999999997,66.4,136.5,17.7,43.650000000000006,59.349999999999994,200.55
2007,1133.1,10.7,278.29999999999995,1.4,16.25,0.7,289.3,196.8,18.0,975.8,7.85,36.15,68.9,9.8,40.05,55.8,241.25
2008,1111.35,17.0,263.70000000000005,1.2,10.05,3.1500000000000004,264.1,194.0,20.15,874.3499999999999,18.1,41.35,90.25,3.85,33.95,48.150000000000006,156.85000000000002
2009,928.5,7.4,180.75,2.8,0.9,1.55,277.6,68.5,2.9000000000000004,689.4,5.3,53.25,68.55,33.9,79.1,132.7,157.85000000000002
2010,1107.5500000000002,7.15,279.29999999999995,10.15,2.8,4.5,311.9,109.3,12.149999999999999,902.4,1.35,41.95,53.35,36.2,61.95,100.75,190.1
2011,1075.65,32.75,287.5,1.15,11.2,2.1,235.6,169.85000000000002,11.850000000000001,884.3,5.65,33.2,91.0,1.25,21.75,24.1,165.7
2012,1034.7,27.55,272.75,3.0,1.9500000000000002,15.3,260.8,77.0,20.9,882.65,1.75,9.95,50.9,11.600000000000001,63.5,95.65,210.0
2013,1232.75,24.549999999999997,243.05,2.25,23.1,2.65,301.9,212.9,29.049999999999997,938.35,5.1,30.4,76.05000000000001,2.6500000000000004,124.9,130.15,162.3
2014,966.8,9.350000000000001,236.05,9.0,17.450000000000003,3.8499999999999996,274.75,63.099999999999994,28.6,759.1,20.65,55.15,118.0,3.9,42.849999999999994,68.30000000000001,153.55
2015,1064.4499999999998,53.15,193.95,2.85,2.95,12.850000000000001,249.25,180.15,17.25,743.7,34.55,33.35,114.95,4.35,28.700000000000003,43.9,148.7
All,1121.3,15.5,259.5,3.0,6.6,5.9,284.29999999999995,138.45,19.0,880.2,7.8,36.05,74.25,9.5,64.65,97.55,173.6
